,SFR4,SFR22,SFR23,SFR33,SFR34,SFR36,SFR39,SFR48,SFR50,SFR53,SFR55,SFR58,SFR61,SFR63,SFR67,SFR72,SFR74,SFR77,SFR79,SFR81,SFR82,SFR92,SFA30,SFA33,SFA40,SFA41,SFA42,SFA50,SFA53,SFA57,SFA59,SFA62,SFA65,SFA66,SFA67,SFA69,SFA71,SFA76,SFA80,SFA81,SFA91,SFA184,SFA195,SFA202,SFA203,SFA213,SFA217,SFA227,SFA228,CBr,N=[NH2+],C1CNC1,C,C1=CC=CC=C1,C1CCCC1,C1CC1
50,0,2,2,0,2,3,3,0,9,1,4,2,0,7,2,0,0,6,4,4,0,16,0,12,0,0,0,5,2,0,1,9,1,7,2,0,1,8,1,2,6,1,9,0,0,3,0,3,0,0,0,0,2,1,0,1
51,1,1,0,0,0,8,2,0,0,3,1,2,0,0,1,0,0,3,4,1,0,8,0,2,0,0,0,5,0,0,0,2,2,3,1,1,0,5,1,0,3,0,4,0,0,1,0,1,0,0,0,0,2,0,0,0
52,0,3,1,2,6,2,1,1,3,1,1,1,1,5,2,1,0,7,5,4,1,12,0,10,0,0,0,2,1,1,0,1,2,1,2,1,0,6,2,1,7,1,10,0,0,1,0,4,2,0,0,0,2,1,0,0
53,0,2,0,1,1,0,2,1,4,2,1,0,0,1,6,2,0,5,5,5,2,9,0,9,0,0,0,3,4,2,0,5,1,2,4,3,1,6,4,2,8,1,6,0,0,2,0,4,0,0,1,0,2,1,0,0
54,1,2,1,0,0,2,0,0,1,3,0,3,0,0,6,0,0,3,2,5,0,5,0,2,0,1,1,3,3,2,0,0,1,1,2,4,0,8,2,0,1,2,3,0,0,7,0,2,0,0,0,0,1,1,0,1
55,0,5,0,0,5,2,2,0,3,3,1,0,0,2,3,2,0,2,2,7,0,9,0,8,0,0,0,6,3,0,0,3,2,4,0,2,3,3,2,1,11,0,7,0,0,3,0,6,2,0,0,0,2,0,0,0
56,0,2,0,1,7,5,1,0,4,3,2,1,0,6,3,1,0,3,7,2,1,16,0,5,0,0,0,1,0,0,0,5,3,0,3,1,0,4,2,3,11,0,10,0,0,2,0,3,0,0,0,0,2,1,0,0
57,0,3,2,0,12,1,2,0,4,3,3,1,0,4,5,1,0,7,5,5,4,15,0,18,1,0,0,2,1,0,0,4,2,1,6,1,2,6,8,1,15,1,16,0,0,2,0,2,3,0,0,0,2,1,0,1
58,0,0,1,2,2,3,3,1,1,2,3,3,1,2,4,0,0,3,4,2,3,11,0,8,2,1,1,1,1,2,1,1,2,5,0,2,2,2,3,0,10,3,7,0,0,2,0,1,1,0,0,1,1,0,0,0
59,0,0,2,0,5,2,3,1,7,3,2,2,0,3,5,1,0,4,3,4,1,12,0,17,0,0,0,5,3,1,0,4,4,3,3,0,2,12,1,0,1,0,11,0,0,1,0,2,0,0,0,0,2,1,0,0
60,0,2,2,1,8,3,0,0,4,2,2,2,0,3,8,1,2,4,5,7,1,11,1,17,1,0,0,3,2,0,0,4,2,0,5,0,1,3,4,0,14,1,14,0,0,2,0,1,4,0,0,0,2,1,0,1
61,0,2,0,2,1,5,2,1,4,3,3,0,1,0,4,1,0,3,6,4,4,7,0,10,0,0,0,2,4,2,0,4,4,2,3,2,2,5,2,5,9,1,6,0,0,4,0,4,0,0,0,0,2,1,0,0
62,0,4,2,1,9,1,3,0,4,4,2,1,0,5,4,3,0,6,3,5,4,10,0,17,2,0,0,3,0,1,0,4,3,0,6,1,0,6,2,0,8,2,14,0,0,0,0,4,2,0,0,0,2,1,0,1
63,0,4,0,3,6,3,1,1,0,1,3,2,1,4,5,2,0,2,6,3,0,15,0,11,0,0,0,3,2,0,2,1,5,0,0,0,2,1,3,3,18,0,12,0,0,2,0,6,0,0,0,0,2,0,0,0
64,0,0,1,6,7,7,1,6,5,4,3,2,0,3,6,3,2,4,5,4,2,11,1,6,0,0,0,4,2,1,0,0,5,2,4,1,3,2,3,6,13,0,12,0,0,7,0,9,1,1,0,0,2,1,0,0
65,0,2,1,0,3,2,4,1,2,3,2,0,0,2,3,2,0,5,2,5,2,10,0,6,0,0,0,2,6,2,0,2,1,2,4,3,1,8,4,2,8,2,7,0,0,2,0,4,0,0,1,0,2,1,0,0
66,0,0,2,1,1,5,5,0,1,4,1,1,0,1,5,0,0,2,3,8,2,6,1,8,0,0,1,4,4,0,0,1,4,1,2,6,0,2,3,1,7,1,4,0,1,8,0,2,0,0,0,0,2,1,0,0
67,0,1,2,1,2,3,0,0,1,3,2,2,0,1,5,0,0,3,1,6,1,7,1,8,0,0,1,3,4,0,0,2,4,1,2,3,1,4,2,2,6,1,4,0,1,7,0,4,0,0,0,0,2,1,0,0
68,0,2,1,1,3,1,1,1,6,1,1,0,0,5,3,1,0,6,4,4,3,8,0,11,0,0,0,1,2,0,0,5,4,2,2,1,2,5,1,3,10,1,6,0,0,2,0,3,1,0,0,0,2,1,0,0
